"OWNER_CODE","DISCOVERY_DOY","FIRE_SIZE","LATITUDE","LONGITUDE","STAT_CAUSE_DESCR"
5,112,17,44.42277778,-83.42694444,"Campfire"
5,105,4,31.42277778,-110.29916667,"Campfire"
5,300,5,43.90861111,-119.70888889,"Campfire"
13,297,0.1,33.73888889,-116.84166667,"Campfire"
5,323,0.1,44.535,-117.87833333,"Campfire"
5,105,3.2,33.3775,-79.86,"Campfire"
5,175,0.1,39.72583333,-107.64222222,"Campfire"
13,192,0.01,48.37583333,-114.05888889,"Campfire"
5,182,0.1,43.64027778,-122.64916667,"Campfire"
5,166,0.5,34.44722222,-111.42888889,"Campfire"
5,184,0.1,45.10222222,-116.15694444,"Campfire"
5,232,0.1,44.28444444,-106.96166667,"Campfire"
5,230,0.1,43.93833333,-114.945,"Campfire"
5,223,0.1,43.45694444,-124.23722222,"Campfire"
5,155,0.1,40.24916667,-111.44861111,"Campfire"
5,301,0.1,43.8975,-119.48666667,"Campfire"
5,87,0.1,31.41611111,-110.26333333,"Campfire"
5,263,0.01,46.88,-121.0175,"Campfire"
5,219,0.1,43.82222222,-110.98611111,"Campfire"
5,237,0.1,48.06888889,-121.78305556,"Campfire"
5,189,0.1,38.72166667,-120.51333333,"Campfire"
5,260,0.1,32.69083333,-116.62277778,"Campfire"
5,151,0.1,33.57694444,-111.48333333,"Campfire"
5,46,0.5,33.74555556,-85.58083333,"Campfire"
5,349,0.1,34.53,-118.58055556,"Campfire"
6,96,0.5,34.41833333,-119.33888889,"Campfire"
5,233,0.1,36.01027778,-112.19416667,"Campfire"
13,153,0.1,58.60333333,-134.91833333,"Campfire"
5,41,0.1,35.295,-111.49222222,"Campfire"
5,303,8,45.87083333,-117.63305556,"Campfire"
5,234,200,36,-118.3,"Campfire"
5,253,0.1,44.87805556,-122.06027778,"Campfire"
13,224,1,39.54638889,-82.0575,"Campfire"
5,109,0.1,44.44361111,-104.34861111,"Campfire"
5,267,0.1,46.11166667,-115.66611111,"Campfire"
5,188,0.2,35.14361111,-111.64111111,"Campfire"
5,259,0.1,48.07611111,-121.52305556,"Campfire"
13,306,0.1,39.41833333,-120.57333333,"Campfire"
5,185,0.1,37.49055556,-119.62472222,"Campfire"
5,261,0.1,38.84111111,-105.49305556,"Campfire"
14,149,0.1,34.48388889,-118.54138889,"Campfire"
6,287,0.5,37.6125,-89.15305556,"Campfire"
5,203,0.1,41.00638889,-106.82111111,"Campfire"
5,180,0.1,35.17611111,-106.37777778,"Campfire"
5,294,0.1,38.54388889,-79.93611111,"Campfire"
5,140,0.1,47.54111111,-120.48472222,"Campfire"
5,260,0.1,47.4175,-121.32833333,"Campfire"
13,286,1,39.04388889,-86.09277778,"Campfire"
5,195,0.1,44.27166667,-121.55638889,"Campfire"
5,31,0.1,34.37833333,-111.09944444,"Children"
13,158,0.1,43.8925,-85.79194444,"Children"
5,115,2404,35.82,-81.925,"Children"
13,57,0.1,47.01611111,-114.36694444,"Children"
5,184,0.1,34.55361111,-118.42055556,"Children"
13,91,2,35.10972222,-84.09916667,"Children"
14,8,39,30.93277778,-88.96833333,"Children"
14,28,1,33.43305556,-81.55805556,"Children"
14,294,38356,34.52444444,-118.33472222,"Children"
13,236,6.4,37.59555556,-89.45694444,"Children"
5,270,0.1,43.48805556,-121.90527778,"Children"
5,43,1.5,34.62,-89.315,"Children"
13,154,0.1,34.24777778,-117.22472222,"Children"
5,147,5,34.16972222,-117.34972222,"Children"
5,235,0.1,35.99805556,-121.36944444,"Children"
13,102,0.25,47.64777778,-92.48722222,"Children"
5,107,2,34.73888889,-76.85,"Children"
13,125,0.25,45.31638889,-88.46666667,"Children"
5,211,0.33,43.33166667,-110.72111111,"Children"
14,220,0.1,34.16111111,-117.90972222,"Children"
13,105,0.5,34.99027778,-83.45361111,"Children"
5,94,0.1,35.24138889,-111.80277778,"Children"
13,185,0.1,43.74222222,-85.94916667,"Children"
13,156,0.1,47.34083333,-94.20583333,"Children"
14,155,1.5,34.48055556,-118.53333333,"Children"
5,113,0.2,29.27527778,-81.86833333,"Children"
13,186,0.5,44.45027778,-111.39333333,"Children"
13,227,0.1,55.46916667,-131.82138889,"Children"
14,246,18,34.2125,-118.34027778,"Children"
13,83,2.9,29.15944444,-81.54194444,"Children"
5,223,0.1,48.60111111,-115.99555556,"Children"
5,250,0.5,37.92861111,-119.99166667,"Children"
14,148,0.5,34.43916667,-118.27583333,"Children"
5,234,0.2,43.88888889,-121.38,"Children"
14,266,5,39.57111111,-119.83472222,"Children"
13,199,0.01,34.20833333,-117.12944444,"Children"
14,185,0.1,34.28194444,-118.37444444,"Children"
13,124,1,34.9975,-76.97055556,"Children"
14,134,1,34.30833333,-118.42555556,"Children"
14,223,15,34.15,-117.69805556,"Children"
